,title,author,pub_date,genre,book_summary
6453,Man on Fire,A. J. Quinnell,1980-09-01,Thriller,"Man on Fire A. J. Quinnell Thriller  In Italy, wealthy families often hire bodyguards to protect family members from the threat of kidnapping. When Rika Balletto urges her husband Ettore, a wealthy textiles producer living in Milan, to hire a bodyguard for their daughter Pinta, he is doubtful but agrees. After some searching, he finally settles for an American named Creasy. Creasy, once purposeful and lethal, has become a burnt-out alcoholic. To keep him occupied, his companion Guido suggests that Creasy should get a job, and"
6821,Gil's All Fright Diner,A. Lee Martinez,2005-04-28,Science Fiction,"Gil's All Fright Diner A. Lee Martinez Science Fiction  In the backwoods southern town of Rockwood, a vampire and a werewolf in a run-down old truck come across Gil's All Night Diner, a 24-hour restaurant in the middle of nowhere. Nearly run out of gas, they stop in at the diner only to discover it is the target of zombie attacks, hauntings, and occult activity. The manager of the diner, Loretta, offers them a job helping her out around the diner, and maybe help solve her zombie problem. In exchange, she'll give them money to help them on their"
4830,Vinegar Hill,A. Manette Ansay,1994-09-01,Children's literature,"Vinegar Hill A. Manette Ansay Children's literature  When Ellen Grier and her family come back to Holly's Field, Wisconsin, it is not what they were hoping. Ellen's husband, James, has no job. The family have to move in with James's parents, Fritz and Mary-Margaret. These two dislike each other but dislike Ellen far more so far that she's on the brink of suicide."
12177,Dwellers in the Mirage,A. Merritt,1932-01-01,Fantasy,"Dwellers in the Mirage A. Merritt Fantasy  The novel concerns American Lief Langdon who discovers a warm valley in Alaska. Two races inhabit the valley, the Little People and a branch of an ancient Mongolian race and they worship the evil Kraken named Khalk'ru which they summon from another dimension to offer human sacrifice. The inhabitants recognize Langdon as the reincarnation of their long dead hero, Dwayanu. Dwayanu's spirit possesses Langdon and starts a war with the Little People. Langdon eventually fights off the presence of"
9297,The Metal Monster,A. Merritt,1920-01-01,Fantasy,"The Metal Monster A. Merritt Fantasy  Dr. Goodwin is on a botanical expedition in the Himalayas. There he meets Dick Drake, the son of one of his old science acquaintances. They are witnesses of a strange aurora-like effect, but seemingly a deliberate one. As they go out to investigate, they meet Goodwin's old friends Martin and Ruth Ventnor, brother and sister scientists. The two are besieged by Persians as Darius III led when Alexander of Macedon conquered them more than two thousand years ago. The group is saved by a"
9669,The Moon Pool,A. Merritt,1918-01-01,Lost World,"The Moon Pool A. Merritt Lost World  The plot concerns an advanced race which has developed within the Earth's core. Eventually their most intelligent members create an offspring. This created entity encompasses both great good and great evil, but it slowly turns away from its creators and towards evil. The entity is called either the Dweller or the Shining One. Eventually of the race which created it only three are left; these are called the Silent Ones, and they have been 'purged of dross' and can be described as higher,"
16276,The Ship of Ishtar,A. Merritt,1924-01-01,Fantasy,"The Ship of Ishtar A. Merritt Fantasy  The archaeologist hero, Kenton, receives a mysterious ancient Babylonian artifact, which he discovers contains an incredibly detailed model of a ship. A dizzy spell casts Kenton onto the deck of the ship, which becomes a full-sized vessel sailing an eternal sea. At one end is Sharane the assistant priestess of Ishtar and her female minions, and at the other is Klaneth the assistant priest of Nergal and his male minions, representatives of two opposed deities. None of them can cross an"
12434,The Face in the Abyss,A. Merritt,1931-01-01,Fantasy,"The Face in the Abyss A. Merritt Fantasy  The novel concerns American mining engineer Nicholas Graydon. While searching for lost Inca treasure in South America, he encounters Suarra, handmaiden to the Snake Mother of Yu-Atlanchi. She leads Graydon to an abyss where Nimir, the Lord of Evil is imprisoned in a face of gold. While Graydon's companions are transformed by the face into globules of gold on account of their greed, he is saved by Suarra and the Snake Mother whom he joins in their struggle against Nimir."
5674,Dream Children,A. N. Wilson,1998-08-01,Fiction,"Dream Children A. N. Wilson Fiction  Paedophilia is at the heart of the story. Oliver Gold's pure thoughts, and seemingly asexual life contrast with the reality of his desires and deeds. Oliver abuses Bobs over a long period."
13366,Holy Deadlock,A. P. Herbert,1934-01-01,Polemic,"Holy Deadlock A. P. Herbert Polemic  The novel's plot is very similar to that of ""Not a Crime"", expanded and presented with a tragic ending rather than the earlier deus ex machina. The protagonists are a faultless and honest young couple, with the everyman names of John Adam and Mary Eve, who married impetuously, are now amicably separated, and wish to divorce so that they can remarry; neither has committed adultery nor desired to. Because of the lack of legal provision, they are compelled to collude to present a fictional cause"
10140,The Secret Battle,A. P. Herbert,1919-01-01,War novel,"The Secret Battle A. P. Herbert War novel  :""I am going to write down some of the history of Harry Penrose, because I do not think full justice has been done to him..."" The novel follows the career of a young officer, Harry Penrose, written from the viewpoint of a close friend who acts as narrator. A sensitive, educated young man, Penrose had enlisted in the ranks in 1914, immediately after completing his second year at Oxford. After six months in training he had been prevailed upon by his relatives - like most educated volunteers - to"
2839,Possession: A Romance,A. S. Byatt,1990-01-01,Science fiction,"Possession: A Romance A. S. Byatt Science fiction  Obscure scholar Roland Michell, researching in the London Library, discovers handwritten drafts of a letter by the prestigious (fictional) Victorian poet Randolph Henry Ash, which leads him to suspect that the married Ash had a hitherto unknown romance. He feels compelled to take away the documents secretly - an unprofessional act - and begins to investigate. The trail leads him to Christabel LaMotte, a minor poet and contemporary of Ash, and to Dr. Maud Bailey, a modern LaMotte scholar and"
13322,Kate Remembered,A. Scott Berg,2003-07-11,Autobiography,"Kate Remembered A. Scott Berg Autobiography  Published within days of her death at 96, this life of Katharine Hepburn is able to take her to her final hours, following her career from her aristocratic, fresh-faced, and slightly audacious youth to her extreme old age. A. Scott Berg knew Hepburn for the last 20 years of her life, and his book is not only the biography of a beloved actress but a tribute to a dear friend—a friend to whom she told the truth about her life, including her great loves and pet hates, with an eye to its eventual"
15445,Queen Victoria: Demon Hunter,A.E. Moorat,2009-10-15,Mashup,Queen Victoria: Demon Hunter A.E. Moorat Mashup  Victoria becomes Queen after the death of William IV. She is soon thrown into a fight she did not expect: the war on demons.
3987,Betrayal,Aaron Allston,2006-05-30,Science Fiction,"Betrayal Aaron Allston Science Fiction  Thirty-six years after the fall of the Galactic Empire, the novel begins with Luke Skywalker sensing the dark presence of a mysterious enemy. Jacen Solo and Ben Skywalker are sent on a mission to disable the planet of Corellia's new independent weapons on Adumar. After they are discovered, they fight their way out of the facility and report to the Galactic Alliance of their discoveries. Han and Leia Solo host a dinner with the Skywalkers as guests at LukStation, where the failed peace meeting"
8209,Fury,Aaron Allston,2007-11-27,Science Fiction,"Fury Aaron Allston Science Fiction  After the Hapans, led by Tenel Ka, decide to leave the Galactic Alliance, Jacen Solo/Darth Caedus devises a plan and kidnaps Allana to force Tenel Ka to continue supporting the government. Meanwhile, a Jedi strike team, led by Jedi Master Kyle Katarn, tries to take on Darth Caedus on Coruscant, but Caedus prevails with the help of some guards, ending with the decapitation of Mithric, a Falleen Jedi. However, the team successfully places a tracking beacon on Caedus. Later, the team of Han,"
5693,Exile,Aaron Allston,2007-02-27,Science Fiction,"Exile Aaron Allston Science Fiction  Jacen Solo increases in popularity with each victory over the Corellian rebels. He attempts to advance his goal of galactic peace in the midst of war. Most of his family opposes Jacen's new attempts, as they fear that the war is being exploited by a mysterious power for personal gain. Luke Skywalker experiences Force visions leading him to believe the entity in question is Lumiya, Dark Lady of the Sith, but Jacen himself shows ever-increasing signs of trouble. The Corellians set a trap for the"
6634,Half-Life,Aaron Krach,2004-01-01,Novel,"Half-Life Aaron Krach Novel  Two weeks before high school graduation and the geography of 18 year-old Adam Westman's life is about to change dramatically. Many of the familiar landmarks will remain—his best friend Dart riding shotgun; the suburban house where he lives with his dad and younger sister; and the numerous on-ramps and off-ramps that connect him to his hometown of Angelito in the center of centerless Los Angeles. But when death and love, perhaps, arrive unexpectedly, Adam must learn that trouble sometimes has"
9091,World of Warcraft: Tides of Darkness,Aaron S. Rosenberg,2007-08-01,Fantasy,"World of Warcraft: Tides of Darkness Aaron S. Rosenberg Fantasy  The novel explores the events of the Second War (which took place during Warcraft II) when the Orcish Horde, led by Warchief Orgrim Doomhammer, returns to Azeroth to destroy the Human nations. The book writer Aaron S. Rosenberg commented at a public Q&A that among the main characters are Khadgar, Turalyon, Lothar, the sisters Windrunner (Alleria, Sylvanas and Vereesa), Orgrim Doomhammer, Zul'jin and Gul'dan. Places featured are Hillsbrad, Stromgarde, Blackrock Spire, Caer Darrow, Stratholme"
16177,Pertemuan Jodoh,Abdul Muis,1932-01-01,Novel,"Pertemuan Jodoh Abdul Muis Novel  Ratna, a young student, inadvertently meets Suparta, a medical student, on a train. There, Suparta tries to find her a seat but fails because a Chinese-Indonesian couple are using the spare seats for their luggage. Upon arrival in Cimahi, Suparta escorts Ratna to her school. Pleased by Suparta's manners, Ratna and he agree to keep in contact via mail. A few months later, Suparta proposes to Ratna via post; Ratna accepts, and leaves for Sumedang to meet Suparta's bangsawan parents. However,"
15790,Interlok,Abdullah Hussain,1971-01-01,Historical fiction,"Interlok Abdullah Hussain Historical fiction  The story in the novel was set in Penang in the early 1900s during the colonisation of Britain over Malaya. The story is told from the point of view of three main characters, namely, Seman, Chin Huat and Maniam. The title of the book derived its name from the English word ""interlock"" which corresponds with the interlocking of the lives of the three main characters of the novel in the final chapter."
7437,Babyji,Abha Dawesar,2005-01-01,Fiction,"Babyji Abha Dawesar Fiction  Sixteen year-old Anamika Sharma, the first person narrator, is a bright young student aware of her privileged position within Indian society. Head Prefect at her school, she aspires to graduate with excellent grades so as to be able to go on to college in the United States to study physics. Anamika is confident that she will be able to get in, but feels conflicted about contributing to the country's brain drain; ultimately, she concludes that it would be best to return to her native country"
11122,Der Nachsommer,Adalbert Stifter,1985-01-01,Novel,"Der Nachsommer Adalbert Stifter Novel  This first-person narrative describes the main character Heinrich's maturation in the regimented household of his father and his subsequent encounter and involvement with the owner of the Rosenhaus, the home, and part of the estate, of a wise, but mysterious older man who becomes a mentor to Heinrich. Heinrich accepts his regimented upbringing without criticism. His father is a merchant who has planned out Heinrich's early education at home in the minutest detail. When it is time for Heinrich"
12413,The Frog King,Adam Davies,2002-01-01,Fiction,"The Frog King Adam Davies Fiction  Harry Driscoll is an editorial assistant living in New York. He works for a major publishing house but is failing to make an impression by not taking his job seriously and constantly arriving at the office late and intoxicated. He is bitter, cynical and troubled but very charming, and the only thing he (secretly) cares about is his long suffering girlfriend - Evie. But he is unable to commit, be faithful or tell her he loves her and soon his self destructive actions will send his life into a"
4845,The King in the Window,Adam Gopnik,2005-01-01,Science fiction,"The King in the Window Adam Gopnik Science fiction  On the night of Epiphany, after enjoying his piece of Epiphany kingcake and wearing a gold paper crown, Oliver gazes out the window. He is approached by a haunting vision of another boy in the reflection. This mysterious boy is a window wraith, and he mistakes Oliver for the new king. The window wraith boy calls Oliver to wield his sword and reclaim the kingdom, luring him into a journey of self-discovery that could save the world. The window wraiths are a cadre of France's deceased poets and"
11940,The Sand Dwellers,Adam Niswander,1998-01-01,Horror,The Sand Dwellers Adam Niswander Horror  The novel is set in the Superstition Mountains where the commander of a secret military installation is affected by strange forces that take over his mind.
15094,The Copper Elephant,Adam Rapp,1999-01-01,Young adult literature,"The Copper Elephant Adam Rapp Young adult literature  Whensday Bluehouse is an orphan who was rescued from a life working in the Pitts by coffin maker Tick Burrowman. Burrowman is attempting to make a profit by selling Whensday to a woman from Toptown, a part of the world that is unaffected by acid rain and life on The Shelf. Whensday is unsure of the security of this exchange, and sneaks away one night. Burrowman may have actually grown fond of Whensday, and it is unclear if he is interested in giving her away after all. While Whensday is on the"
6069,33 Snowfish,Adam Rapp,2003-03-01,Children's literature,"33 Snowfish Adam Rapp Children's literature  33 Snowfish follows the character of Custis, a 10-year-old orphan living with his ""owner"" Bob Motley, who sexually abuses him, in a dilapidated house in Rockdale, Illinois. After overhearing that he was to star in a snuff movie, Custis steals a small pistol and escapes through a hole in the wall. While hiding from Motley's crew and begging for quarters in a video arcade at the Joliet Mall, Custis spots Boobie (whose real name is Darrin Flowers), a strange boy with black eyes and a single"
4084,The Soddit,Adam Roberts,2003-01-01,Parody,"The Soddit Adam Roberts Parody  The story starts with a peaceful Soddit called Bingo who is visited by a wizard and a party of dwarfs who ask Bingo to come with them on a quest to 'The Only Mountain' where 'Smug the Dragon' lives. After a few drinks, Bingo accepts, not knowing what they were actually searching for. ""Gold, boyo gold, la, look you."" On the way, they have many adventures and close shaves. Bingo finds a 'Thing®' that was created by the Evil Sharon and is potentially the most evil Thing® in the world. Bingo"
7764,Salt,Adam Roberts,2000-06-20,Science Fiction,"Salt Adam Roberts Science Fiction  Colonists from Earth set out for a distant planet, but during the voyage, a factional skirmish turns into an irrevocable grudge, to play out during the course of their colonisation. Rough-shod settlements are soon constructed around the sterile salt environment, yet old tensions quickly develop into war between two of these settlements, the rigid military dictatorship of Senaar and the Als anarchy. The novel explores the motivations of their warfare, and the viewpoints of the two narrators"
10349,Land of the Headless,Adam Roberts,2007-01-01,Science Fiction,"Land of the Headless Adam Roberts Science Fiction  The story focuses upon the experiences of Jon Cavala, a poet on the religiously fundamentalist planet of Pluse. He is beheaded for the crime of rape although this is subsequently revealed to be simply consensual sexual intercourse outside of marriage that the authorities have deemed 'rape'. This being a future civilisation, beheading does not kill Cavala. Instead his 'brain' or, it is hinted, his mind state is placed inside a computer-like device called an 'Ordinator.' He sees and hears via"
9666,The Snow,Adam Roberts,2004-03-01,Science Fiction,"The Snow Adam Roberts Science Fiction  The heroine of the story, Tira, is a Londoner who initially survives the snowfall by staying on the surface of the snow. Once the snow begins to bury all the highest buildings, she meets a worker in the London underground and they both survive by sheltering in a high-rise office building and living off supplies that they have cached. The worker later dies after falling off a chair. Tira is then rescued by 'Food Miners' of the New United States of America (now called NUSA). The food miners take"
9458,Stone,Adam Roberts,2002-03-01,Science Fiction,"Stone Adam Roberts Science Fiction  Ae has been imprisoned for a crime rarely committed in the society he lives in: murder (mainly due to the difficulty of killing a body protected by nano-tech). He is placed in a high-tech prison (a stone with an artificial environment inside held in the plasma of a sun). He is ""executed"" by having his Dot-tech purged from his body, which, while not immediately lethal, will eventually cause him to die of natural causes. He is broken out and picked up by a sub-light ship, where he recuperates"
12039,On,Adam Roberts,2001-01-01,Science Fiction,"On Adam Roberts Science Fiction  The story follows the life of an adolescent named Tighe (pronounced, roughly, Tig-Hee). Tighe's village is built on the ledges and crags of an enormous cliff-face, called the Wall or the World-wall. Every morning, the sun rises from the bottom of the wall, and every evening it sets at the top. The first part of the novel introduces Tighe and the hardness of life in his village, the abuse Tighe receives from his family members, and the unusual (to us) state of his world. Partway through this"
7774,Gradisil,Adam Roberts,2006-03-16,Science Fiction,"Gradisil Adam Roberts Science Fiction  Gradisil takes place over several generations of the Gyeroffy family, the novel's timeline spanning from 2059 to the first half of the 22nd century, circa 2130. On these generations hang the novel's basic plots &ndash; a murder story, a domestic story, a political story and a revenge story. The first involves Klara Gyeroffy and her father, an aeronautics hobbyist, in their establishment of the low Earth orbit settlement of the Uplands. With the advent of more efficient propulsion technology,"
1547,The Wealth of Nations,Adam Smith,1776-01-01,Non-fiction,"The Wealth of Nations Adam Smith Non-fiction  Of the Division of Labour: Division of labour has caused a greater increase in production than any other factor. This diversification is greatest for nations with more industry and improvement, and is responsible for ""universal opulence"" in those countries. Agriculture is less amenable than industry to division of labour; hence, rich nations are not so far ahead of poor nations in agriculture as in industry. Of the Principle which gives Occasion to the Division of Labour: Division of labour"
2156,Politics,Adam Thirlwell,2003-08-28,Fiction,"Politics Adam Thirlwell Fiction  Nana, an attractive young ""non-talker"" in her mid-twenties&mdash;""tall, thin, pale, blonde, breasty""&mdash;who is working on her M.A. thesis, lives with her ""Papa"", the ""benevolent angel"" of the story, in Edgware, a suburb of London. She gets to know Moshe, a young Jewish actor from Finsbury, and they start a relationship. As time goes by, Anjali, a friend of Moshe's, joins them more and more in their sparetime activities until Nana, for whom sex is not necessarily a top priority, suggests a"
11479,Moscow 1812: Napoleon's Fatal March,Adam Zamoyski,2004-08-03,History,"Moscow 1812: Napoleon's Fatal March Adam Zamoyski History  Napoleon I of France was, at the time, a very prominent military and political figure, desiring to create a French-governed Europe. He succeeded in annexing many countries to France, placing his relatives and friends as monarchs in those countries. He managed to subdue Prussia and force her to become his ally, and to a great extent did the same to Austria. After winning a war with Russia, he made even the Russian Tzar Alexander (1801) his ally. Only two countries in Europe still resisted"
6187,Chinese Cinderella,Adeline Yen Mah,1999-09-07,Autobiographical novel,"Chinese Cinderella Adeline Yen Mah Autobiographical novel  Adeline's family considers her as bad luck and they don't pay attention to her throughout her early childhood. This is the story of her struggle for acceptance and how she overcomes the odds to prove her worth. Born the fifth child to a wealthy Chinese family, Adeline's life begins tragically. Adeline's mother died three days after her birth due to complications bought on by the delivery, and in Chinese culture she is considered as bad luck. This situation is compounded by her father's new"
5065,The Invention of Morel,Adolfo Bioy Casares,1940-01-01,Science Fiction,"The Invention of Morel Adolfo Bioy Casares Science Fiction  The fugitive starts a diary after tourists arrive on the desert island where he is hiding. Although he considers their presence a miracle, he is afraid they will turn him in to the authorities. He retreats to the swamps while they take over the museum on top of the hill where he used to live. Through his diary we learn that the fugitive is a writer from Venezuela sentenced to life in prison. He believes he is on the (fictional) island of Villings, a part of the Ellice Islands (now Tuvalu), but"
9569,A Woman in Amber,Agate Nesaule,1995-01-01,Autobiography,"A Woman in Amber Agate Nesaule Autobiography  A Woman in Amber begins with Agate Nesaule as an adult. She is a successful professor of Women’s Studies and 20th century American Literature at the University of Wisconsin Whitewater. Despite her outward professional success, Agate lives with an inner turmoil caused by her memories of war and perpetuated by her husband Joe. Nesaule finds herself in therapy, depressed and unable to come to terms with the root cause of her depression. On the advice of her therapist Ingeborg, Agate learns she"
2694,Curtain,Agatha Christie,1975-09-01,Crime Fiction,"Curtain Agatha Christie Crime Fiction  The murderer, identified by Poirot simply by the letter X, has been completely unsuspected of involvement in five previous murders, in all of which there was a clear suspect. Four of these suspects have subsequently died (one of them hanged), but in the case of Freda Clay, who gave her aunt an overdose of morphine, there was considered to be too little evidence to prosecute. Hastings agrees that it is highly unlikely to be coincidence if X was connected with all five deaths, but Poirot, now"
